name,type_name
Budgerigar,bird
Cockatiel,bird
Cockatoo,bird
Dove,bird
"Hyacinth Macaw",bird
Abyssinian,cat
"British Shorthair",cat
"Devon Rex",cat
"Maine Coon Cat",cat
Ragdoll,cat
Beagle,dog
Bulldog,dog
"German Shepherd",dog
"Golden Retriever",dog
"Labrador Retriever",dog
